tinkerg You are a member of the Tinker's Guild.
warriorg You are a member of the Warrior's Guild.
battleg You are a member of the Battlemage's Guild.
rangerg You are a member of the Ranger's Guild.
elementg You are a member of the Elemental's Guild.
assassing You are a member of the Assassin's Guild.
thiefg You are a member of the Thief's Guild.
wizardg You are a member of the Wizard's Guild.
healerg You are a member of the Healer's Guild.
palading You are a member of the Paladin's Guild.
marauderg You are a member of the Marauder's Guild.
necrog You are a member of the Necromancer's Guild.
mysticg You are a member of the Mystic's Guild.
tacticg You are a member of the Tactic's Guild.
shamang You are a member of the Shaman's Guild.
